Nombre componente/instancia;CHECK UNICIDAD;TORRE;ENTORNO;DUPLICADO?;VERIFICACION EN LISTA ENTITIES DYNATRACE;VERIFICACION CMDB - ESTADO;VERIFICACION CMDB - GRUPO;VERIFICACION CMDB - ENTORNO;VERIFICACION CMDB - SISTEMA OPERATIVO;CHECK INVENTARIO PLAN;Estado Monitoreo Integración;MARCA OBSOLESCENCIA;[Instancia] : Nombre ORI;[Instancia] : Motor de Base de Datos;[Servidor] : Display Label;Notas;Réplicación 
drecwmn002;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows 2019 Standard - 10.0.17763;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;drecwmn002;Microsoft Windows Server 2019 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwnb002;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows 2019 Standard - 10.0.17763;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;drecwnb002;Microsoft Windows Server 2019 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwnb003;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows 2019 Standard - 10.0.17763;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;drecwnb003;Microsoft Windows Server 2019 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwno001;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows 2019 Standard - 10.0.17763;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;drecwno001;Microsoft Windows Server 2019 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwpr004;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Retirado;WINTEL;Producción;Windows 2022 Standard - 10.0.20348;NO ENCONTRADO EN PLAN;Remote Host Wintel (Extension);CON SOPORTE;drecwpr004;Microsoft Windows Server 2019 (64-bit);poweredOff;DRECAVC004;VMware Virtual Machine Instance
drecwpr005;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Retirado;WINTEL;Producción;Windows 2022 Standard - 10.0.20348;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;drecwpr005;Microsoft Windows Server 2019 (64-bit);poweredOff;DRECAVC004;VMware Virtual Machine Instance
drecwpr006;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Retirado;WINTEL;Producción;Windows 2022 Standard - 10.0.20348;NO ENCONTRADO EN PLAN;Remote Host Wintel (Extension);CON SOPORTE;drecwpr006;Microsoft Windows Server 2019 (64-bit);poweredOff;DRECAVC004;VMware Virtual Machine Instance
drecwsa013;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;Grupo Ciberseguridad BP;Producción;Windows 2019 Standard - 10.0.17763;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;drecwsa013;Microsoft Windows Server 2019 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwsa014;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;Grupo Ciberseguridad BP;Producción;Windows 2019 Standard - 10.0.17763;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;drecwsa014;Microsoft Windows Server 2019 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwsa016;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows Server 2016 Standard - 10.0.14393;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;drecwsa016;Microsoft Windows Server 2016 or later (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwsa016;0;WINTEL;DCA;DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows Server 2016 Standard - 10.0.14393;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;drecwsa016;Microsoft Windows Server 2016 or later (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwsh001;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;Storage & Backup;Producción;Windows 2016 Standard - 10.0.14393;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;drecwsh001;Microsoft Windows Server 2016 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwwa004;1;WINTEL;DCA;NO DUPLICADO;Componente no encontrado en Dynatrace;Retirado;WINTEL;Producción;Windows 2019 Standard - 10.0.17763;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;CON SOPORTE;drecwwa004;Microsoft Windows Server 2016 or later (64-bit);poweredOff;DRECAVC004;VMware Virtual Machine Instance
drecwwa066;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows 2019 Standard - 10.0.17763;NO ENCONTRADO EN PLAN;Remote Host Wintel (Extension);CON SOPORTE;drecwwa066;Microsoft Windows Server 2019 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecxap001;1;L3 Storage&Backup;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;Storage & Backup;Producción;AIX - 7.2.0.0;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);VERIFICAR TL (5 soportado);drecxap001;Servidor AIX;Operativo;VERDADERO;Computer
DRECXDB001;1;BDD SERV;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;UNIX;Producción;AIX - 7.2.0.0;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);VERIFICAR TL (5 soportado);DRECXDB001;oracle;FAR SYNC;;Oracle Dataguard
DRECXDB001;0;UNIX;DCA;DUPLICADO;ENTITIES DYNATRACE;Operativo;UNIX;Producción;AIX - 7.2.0.0;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);VERIFICAR TL (5 soportado);DRECXDB001;Instancia IBM LPAR;Operativo;VERDADERO;
DRECXDB002;1;BDD SERV;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;UNIX;Producción;AIX - 7.3.0.0;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;DRECXDB002;oracle;DRP0121;;Oracle Dataguard
DRECXDB002;0;BDD SERV;DCA;DUPLICADO;ENTITIES DYNATRACE;Operativo;UNIX;Producción;AIX - 7.3.0.0;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;DRECXDB002;oracle;DRP0131;;Oracle Dataguard
DRECXDB002;0;UNIX;DCA;DUPLICADO;ENTITIES DYNATRACE;Operativo;UNIX;Producción;AIX - 7.3.0.0;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;DRECXDB002;Instancia IBM LPAR;Operativo;VERDADERO;
DRECXDB003;1;BDD SERV;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;UNIX;Producción;AIX - 7.3.0.0;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;DRECXDB003;oracle;DRP0122;;Oracle Dataguard
DRECXDB003;0;BDD SERV;DCA;DUPLICADO;ENTITIES DYNATRACE;Operativo;UNIX;Producción;AIX - 7.3.0.0;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;DRECXDB003;oracle;DRP0132;;Oracle Dataguard
DRECXDB003;0;UNIX;DCA;DUPLICADO;ENTITIES DYNATRACE;Operativo;UNIX;Producción;AIX - 7.3.0.0;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;DRECXDB003;Instancia IBM LPAR;Operativo;VERDADERO;
DRECXDB004;1;BDD SERV;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;UNIX;Producción;AIX - 7.3.0.0;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;DRECXDB004;oracle;P014BANR1;;Oracle Dataguard
DRECXDB004;0;UNIX;DCA;DUPLICADO;ENTITIES DYNATRACE;Operativo;UNIX;Producción;AIX - 7.3.0.0;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;DRECXDB004;Instancia IBM LPAR;Operativo;VERDADERO;
DRECXDB005;1;BDD SERV;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;UNIX;Producción;AIX - 7.3.0.0;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;DRECXDB005;oracle;P014BANR2;;Oracle Dataguard
DRECXDB005;0;UNIX;DCA;DUPLICADO;ENTITIES DYNATRACE;Operativo;UNIX;Producción;AIX - 7.3.0.0;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;DRECXDB005;Instancia IBM LPAR;Operativo;VERDADERO;
DRECXDB006;1;BDD SERV;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;UNIX;Producción;AIX - 7.3.0.0;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;DRECXDB006;oracle;DRP0161;;Oracle Dataguard
DRECXDB006;0;UNIX;DCA;DUPLICADO;ENTITIES DYNATRACE;Operativo;UNIX;Producción;AIX - 7.3.0.0;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;DRECXDB006;Instancia IBM LPAR;Operativo;VERDADERO;
